college,section,credits,instructor,dates,location
Davidson County Community College,COM-120-2DYA (7562) Intro Interpersonal Com,3,To be Announced,"03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday 11:00AM - 11:50AM, Health Technology Bldg, Room 00109
03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINESection meets at Davie Campus, MocksvilleHybrid Section- Some face to face and some online instruction",Main Davie Campus
Davidson County Community College,COM-120-2WA (6567) Intro Interpersonal Com,3,To be Announced,"03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored exams",Online
Davidson County Community College,COM-120-2WB (8770) Intro Interpersonal Com,3,To be Announced,"03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored exams",Online
Davidson County Community College,COM-231-1A (6849) Public Speaking,3,B. Jackowski,"01/11/2021-03/05/2021 Classroom Hours Monday, Wednesday, Friday 12:30PM - 02:15PM, Gee Bldg, Room S126",Main Davidson Campus
Davidson County Community College,COM-231-1B (6850) Public Speaking,3,S. Walters,"01/12/2021-03/04/2021 Classroom Hours Tuesday, Thursday 08:00AM - 10:30AM, Gee Bldg, Room S126",Main Davidson Campus
Davidson County Community College,COM-231-1C (6851) Public Speaking,3,C. Sanders,"01/12/2021-03/04/2021 Classroom Hours Tuesday, Thursday 11:15AM - 01:45PM, Gee Bldg, Room S126",Main Davidson Campus
Davidson County Community College,COM-231-1D (6852) Public Speaking,3,C. Sanders,"01/12/2021-03/04/2021 Classroom Hours Tuesday, Thursday 02:00PM - 04:30PM, Gee Bldg, Room S126",Main Davidson Campus
Davidson County Community College,COM-231-1WA (6568) Public Speaking,3,S. Walters,"01/11/2021-03/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored examsOnline AA students only",Online
Davidson County Community College,COM-231-1WB (8437) Public Speaking,3,To be Announced,"01/11/2021-03/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored examsOnline AA students only",Online
Davidson County Community College,COM-231-2A (6853) Public Speaking,3,B. Jackowski,"03/15/2021-05/07/2021 Classroom Hours Monday, Wednesday, Friday 02:30PM - 04:15PM, Gee Bldg, Room S124",Main Davidson Campus
Davidson County Community College,COM-231-2B (6854) Public Speaking,3,S. Walters,"03/16/2021-05/06/2021 Classroom Hours Tuesday, Thursday 08:00AM - 10:30AM, Gee Bldg, Room S124",Main Davidson Campus
Davidson County Community College,COM-231-2C (6855) Public Speaking,3,S. Walters,"03/16/2021-05/06/2021 Classroom Hours Tuesday, Thursday 11:15AM - 01:45PM, Gee Bldg, Room S126",Main Davidson Campus
Davidson County Community College,COM-231-2D (6856) Public Speaking,3,C. Sanders,"03/16/2021-05/06/2021 Classroom Hours Tuesday, Thursday 02:00PM - 04:30PM, Gee Bldg, Room S126",Main Davidson Campus
Davidson County Community College,COM-231-2DB (7319) Public Speaking,3,To be Announced,"03/16/2021-05/06/2021 Classroom Hours Tuesday, Thursday 12:30PM - 03:00PM, Health Technology Bldg, Room 00109Section meets at Davie Campus, Mocksville",Main Davie Campus
Davidson County Community College,COM-231-2WA (6574) Public Speaking,3,S. Walters,"03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored examsOnline AA students only",Online
Davidson County Community College,COM-231-2WB (8438) Public Speaking,3,To be Announced,"03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored examsOnline AA students only",Online
Davidson County Community College,COM-231-YNA (8493) Public Speaking,3,C. Grove,"01/11/2021-05/07/2021 Classroom Hours Tuesday 05:30PM - 06:45PM, Gee Bldg, Room S128
01/11/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - some face-to-face and some online instruction.Course runs entire semester. Evening Section.",Main Davidson Campus
Davidson County Community College,COS-111-A (6614) Cosmetology Concepts I,4,W. Nash,"01/11/2021-05/07/2021 Classroom Hours Monday, Friday 08:00AM - 10:25AM, Brinkley Bldg, Room 00112",Main Davidson Campus
Davidson County Community College,COS-112-A (6615) Salon I,8,W. Nash,"01/11/2021-05/07/2021 Lab/Shop Hours Monday, Friday 10:30AM - 02:35PM, Brinkley Bldg, Room 00112
01/11/2021-05/07/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:00AM - 02:40PM, Brinkley Bldg, Room 00112",Main Davidson Campus
Davidson County Community College,COS-113-A (6619) Cosmetology Concepts II,4,To be Announced,"01/11/2021-05/07/2021 Classroom Hours Monday, Friday 08:00AM - 10:25AM, Brinkley Bldg, Room 00128",Main Davidson Campus
Davidson County Community College,COS-114-A (6687) Salon II,8,To be Announced,"01/11/2021-05/07/2021 Lab/Shop Hours Monday, Friday 10:30AM - 02:35PM, Brinkley Bldg, Room 00128
01/11/2021-05/07/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:00AM - 02:40PM, Brinkley Bldg, Room 00128",Main Davidson Campus
Davidson County Community College,COS-117-A (6731) Cosmetology Concepts IV,2,S. Carnes,"01/11/2021-05/03/2021 Classroom Hours Monday 11:45AM - 02:35PM, Brinkley Bldg, Room 00127",Main Davidson Campus
Davidson County Community College,COS-118-A (6732) Salon IV,7,S. Carnes,"01/11/2021-05/07/2021 Lab/Shop Hours Monday 08:00AM - 11:40AM, Brinkley Bldg, Room 00133
01/11/2021-05/07/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:00AM - 02:35PM, Brinkley Bldg, Room 00133",Main Davidson Campus
Davidson County Community College,COS-125-WA (7639) Esthetics Concepts II,2,L. Piercy,"01/11/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINE",Online
Davidson County Community College,COS-126-YA (7640) Esthetics Salon II,6,L. Piercy,"01/11/2021-05/07/2021 Lab/Shop Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINE
01/11/2021-05/07/2021 Lab/Shop Hours Tuesday, Thursday 08:00AM - 04:10PM, Smith Health Sciences Center, Room 143",Main Davidson Campus
Davidson County Community College,COS-126-YB (7641) Esthetics Salon II,6,L. Piercy,"01/11/2021-05/07/2021 Lab/Shop Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINE
01/11/2021-05/07/2021 Lab/Shop Hours Wednesday, Thursday 08:00AM - 04:10PM, Smith Health Sciences Center, Room 143",Main Davidson Campus
Davidson County Community College,COS-223-A (6733) Contemp Hair Coloring,2,S. Carnes,"01/11/2021-05/07/2021 Classroom Hours Friday 08:00AM - 09:05AM, Brinkley Bldg, Room 00128
01/11/2021-05/07/2021 Lab/Shop Hours Friday 09:10AM - 12:45PM, Brinkley Bldg, Room 00133",Main Davidson Campus
Davidson County Community College,CTS-115-1WA (6242) Info Sys Business Concepts,3,P. Campbell,"01/11/2021-03/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - May require proctored exams",Online
Davidson County Community College,DFT-151-1YA (6260) CAD I,3,B. Long,"01/11/2021-03/07/2021 Classroom Hours Monday, Wednesday, Friday 01:20PM - 01:35PM, Mary Briggs Technology Bldg, Room 00105
01/11/2021-03/07/2021 Lab/Shop Hours Monday, Wednesday, Friday 01:35PM - 02:15PM, Mary Briggs Technology Bldg, Room 00105
01/11/2021-03/07/2021 Lab/Shop Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - Some online and someface to face instruction",Main Davidson Campus
Davidson County Community College,DFT-151-2YA (7661) CAD I,3,B. Long,"03/15/2021-05/07/2021 Classroom Hours Monday, Wednesday, Friday 01:20PM - 01:35PM, Mary Briggs Technology Bldg, Room 00105
03/15/2021-05/07/2021 Lab/Shop Hours Monday, Wednesday, Friday 01:35PM - 02:15PM, Mary Briggs Technology Bldg, Room 00105
03/15/2021-05/07/2021 Lab/Shop Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - Some online andsome face to face instruction",Main Davidson Campus
Davidson County Community College,DFT-151-YA (6259) CAD I,3,K. Smith,"01/11/2021-05/07/2021 Classroom Hours Tuesday 08:00AM - 09:45AM, Mary Briggs Technology Bldg, Room 00105
01/11/2021-05/07/2021 Lab/Shop Hours Tuesday 09:45AM - 12:00PM, Mary Briggs Technology Bldg, Room 00105
01/11/2021-05/07/2021 Lab/Shop Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - Some online and someface to face instruction",Main Davidson Campus
Davidson County Community College,DME-115-2YA (6243) Graphic Design Tools,3,J. Pubantz,"03/15/2021-05/07/2021 Classroom Hours Monday, Wednesday, Friday 12:30PM - 01:15PM, Finch Bldg, Room 00206
03/15/2021-05/07/2021 Lab/Shop Hours Monday, Wednesday, Friday 01:15PM - 02:15PM, Finch Bldg, Room 00206
03/15/2021-05/07/2021 Lab/Shop Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - Some online and someface to face instruction",Main Davidson Campus
Davidson County Community College,DME-140-1YA (6494) Intro to Audio/Video Media,3,J. Pubantz,"01/11/2021-03/07/2021 Classroom Hours Monday, Wednesday, Friday 12:30PM - 01:30PM, Finch Bldg, Room 00206
01/11/2021-03/07/2021 Lab/Shop Hours Monday, Wednesday, Friday 01:30PM - 02:30PM, Finch Bldg, Room 00206
01/11/2021-03/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - Some online and someface to face instruction",Main Davidson Campus
Davidson County Community College,DME-215-1YA (6245) Adv Graphic Design Tools,3,J. Pubantz,"01/11/2021-03/07/2021 Classroom Hours Monday, Wednesday, Friday 10:00AM - 10:50AM, Finch Bldg, Room 00206
01/11/2021-03/07/2021 Lab/Shop Hours Monday, Wednesday, Friday 10:50AM - 11:50AM, Finch Bldg, Room 00206
01/11/2021-03/07/2021 Lab/Shop Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - Some online and someface to face instruction",Main Davidson Campus
Davidson County Community College,DME-230-2YA (6495) Digital Animation II,3,J. Pubantz,"03/15/2021-05/07/2021 Classroom Hours Monday, Wednesday, Friday 10:00AM - 10:50AM, Finch Bldg, Room 00206
03/15/2021-05/07/2021 Lab/Shop Hours Monday, Wednesday, Friday 10:50AM - 11:50AM, Finch Bldg, Room 00206
03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - Some online and someface to face instruction",Main Davidson Campus
Davidson County Community College,DME-270-2YA (6406) Prof Pract Digital Media,3,J. Pubantz,"03/15/2021-05/07/2021 Classroom Hours Tuesday, Thursday 08:00AM - 09:00AM, Finch Bldg, Room 00206
03/15/2021-05/07/2021 Lab/Shop Hours Tuesday, Thursday 09:00AM - 10:40AM, Finch Bldg, Room 00206
03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - Some online and someface to face instruction",Main Davidson Campus
Davidson County Community College,DME-285-2YA (6247) Systems Project,3,J. Pubantz,"03/15/2021-05/07/2021 Classroom Hours Monday, Wednesday, Friday 08:00AM - 08:50AM, Finch Bldg, Room 00206
03/15/2021-05/07/2021 Lab/Shop Hours Monday, Wednesday, Friday 08:50AM - 09:50AM, Finch Bldg, Room 00206
03/15/2021-05/07/2021 Lab/Shop Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - some online and someface to face instruction",Main Davidson Campus
Davidson County Community College,ECO-251-2A (6227) Prin of Microeconomics,3,R. Dougherty,"03/15/2021-05/07/2021 Classroom Hours Monday, Wednesday, Friday 12:30PM - 02:19PM, Finch Bldg, Room 00224",Main Davidson Campus
Davidson County Community College,ECO-252-1WA (6229) Prin of Macroeconomics,3,R. Dougherty,"01/11/2021-03/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - May require proctored exams",Online
Davidson County Community College,ECO-252-2A (6228) Prin of Macroeconomics,3,R. Dougherty,"03/16/2021-05/06/2021 Classroom Hours Tuesday, Thursday 11:10AM - 01:45PM, Finch Bldg, Room 00224",Main Davidson Campus
Davidson County Community College,EDU-119-1YA (6844) Intro to Early Child Educ,4,A. Edmond,"01/11/2021-03/07/2021 Classroom Hours Monday, Wednesday, Friday 08:00AM - 09:50AM, Mary Briggs Technology Bldg, Room 00223
01/11/2021-03/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnline Classes, Room ONLINEHybrid Section - some face-to-face and some online instruction",Main Davidson Campus
Davidson County Community College,EDU-119-2WA (6845) Intro to Early Child Educ,4,A. Edmond,"03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored exams",Online
Davidson County Community College,"EDU-131-1WA (6846) Child, Family, and Community",3,To be Announced,"01/11/2021-03/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored exams",Online
Davidson County Community College,EDU-144-1WA (6859) Child Development I,3,S. Carter,"01/11/2021-03/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored exams",Online
Davidson County Community College,EDU-145-1A (6861) Child Development II,3,A. Edmond,"01/11/2021-03/05/2021 Classroom Hours Monday, Wednesday, Friday 10:00AM - 11:45AM, Mary Briggs Technology Bldg, Room 00223",Main Davidson Campus
Davidson County Community College,EDU-146-2A (6862) Child Guidance,3,S. Carter,"03/15/2021-05/07/2021 Classroom Hours Monday, Wednesday, Friday 08:00AM - 09:45AM, Mary Briggs Technology Bldg, Room 00223",Main Davidson Campus
Davidson County Community College,EDU-151-2A (6863) Creative Activities,3,A. Edmond,"03/15/2021-05/07/2021 Classroom Hours Monday, Wednesday, Friday 10:00AM - 11:45AM, Mary Briggs Technology Bldg, Room 00223",Main Davidson Campus
Davidson County Community College,"EDU-153-2WA (6865) Health, Safety and Nutrition",3,To be Announced,"03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored exams.",Online
Davidson County Community College,EDU-157-1A (6867) Active Play,3,To be Announced,"01/12/2021-03/04/2021 Classroom Hours Tuesday, Thursday 11:15AM - 01:45PM, Mary Briggs Technology Bldg, Room 00223",Main Davidson Campus
Davidson County Community College,EDU-221-2WA (6869) Children With Exceptionalities,3,S. Carter,"03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored exams",Online
Davidson County Community College,EDU-222-1WA (6871) Learners W/ Behavior Disorders,3,To be Announced,"01/11/2021-03/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored exams",Online
Davidson County Community College,"EDU-234-1A (6872) Infants, Toddlers, and Twos",3,S. Carter,"01/12/2021-03/04/2021 Classroom Hours Tuesday, Thursday 08:00AM - 10:30AM, Mary Briggs Technology Bldg, Room 00223",Main Davidson Campus
Davidson County Community College,EDU-235-2WA (6873) School-Age Develop & Programs,3,To be Announced,"03/15/2021-05/07/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday Times to be AnnouncedOnle, Room ONLINEOnline Section - may require proctored exams",Online
Davidson County Community College,EDU-250-2A (6874) Teacher Licensure Preparation,3,A. Edmond,"03/16/2021-05/06/2021 Classroom Hours Tuesday, Thursday 08:00AM - 10:30AM, Mary Briggs Technology Bldg, Room 00223",Main Davidson Campus
Durham Technical Community College,ACA-122-101 (0708) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-102 (0709) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-103 (0710) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-104A (0711) College Transfer Success,1,To be Announced,"01/11/2021-03/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-104B (0712) College Transfer Success,1,To be Announced,"03/15/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-105 (0713) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-106 (0714) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-107 (0715) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-108A (0716) College Transfer Success,1,To be Announced,"01/11/2021-03/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-108B (0717) College Transfer Success,1,To be Announced,"03/15/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-109 (0718) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-110 (0719) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-111 (0720) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-112 (0721) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-113 (0722) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-114A (0723) College Transfer Success,1,To be Announced,"01/11/2021-03/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-114B (0724) College Transfer Success,1,To be Announced,"03/15/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-115A (0725) College Transfer Success,1,To be Announced,"01/11/2021-03/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-115B (0726) College Transfer Success,1,To be Announced,"03/15/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,ACA-122-116 (0727) College Transfer Success,1,To be Announced,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-094-091 (1902) Basic Biological Chemistry,4,O. Hogrefe,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-094-092 (1903) Basic Biological Chemistry,4,O. Hogrefe,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-094-093 (1904) Basic Biological Chemistry,4,J. Magliocca,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-094-094 (1905) Basic Biological Chemistry,4,J. Magliocca,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-094-095 (1906) Basic Biological Chemistry,4,K. Christian,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-094-096 (1907) Basic Biological Chemistry,4,K. Christian,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-131-101 (0886) Introduction to Chemistry,3,F. Gouzoules,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-131A-101 (0887) Intro to Chemistry Lab,1,F. Gouzoules,"01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-132-101 (0888) Organic and Biochemistry,4,K. Tahmaseb,"01/11/2021-05/08/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Lab/Shop Hours Wednesday 02:00PM - 04:40PM, Collins (Building 2), Room 108",Main Campus
Durham Technical Community College,CHM-151-101 (0889) General Chemistry I,4,C. Parker,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-151-102 (0890) General Chemistry I,4,C. Parker,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-151-104 (0891) General Chemistry I,4,R. Matthews,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-151-105 (0892) General Chemistry I,4,R. Matthews,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-151-106 (0893) General Chemistry I,4,"R. Matthews, H. McGuire","01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-151-450 (0896) General Chemistry I,4,B. Collins,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-151-466 (0897) General Chemistry I,4,"R. Matthews, S. Franklin","01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-152-101 (0898) General Chemistry II,4,C. Sloan,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-152-102 (0899) General Chemistry II,4,C. Sloan,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-152-130 (0900) General Chemistry II,4,J. Rech,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-152-450 (0901) General Chemistry II,4,J. Rech,"01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-152-760 (0902) General Chemistry II,4,"O. Hogrefe, S. Franklin","01/11/2021-05/08/2021 Online Class Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
Durham Technical Community College,CHM-251-450 (1908) Organic Chemistry I,4,F. Gouzoules,"01/11/2021-05/08/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Lab/Shop Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINE
01/11/2021-05/08/2021 Lab/Shop Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINE",Internet/Distance Learning
